episode,fast_slot,policy,requests,stages,total_delay,compute_delay,transmission_delay,kkt_virtual_cost,infeasible,service_0,service_1,service_2,service_3,service_4
0,0,greedy_delta,9.0,21.0,3.513618230819702,2.1911120414733887,1.3225061893463135,3.513618230819702,0.0,2.0,1.0,3.0,1.0,2.0
0,0,lookahead_delta,9.0,21.0,3.513618230819702,2.1911120414733887,1.3225061893463135,3.513618230819702,0.0,2.0,1.0,3.0,1.0,2.0
0,0,wms_planner,9.0,21.0,3.513618230819702,2.1911120414733887,1.3225061893463135,3.513618230819702,0.0,2.0,1.0,3.0,1.0,2.0
0,1,greedy_delta,17.0,45.0,12.972411632537842,9.839926719665527,3.1324849128723145,12.972411632537842,0.0,4.0,5.0,4.0,3.0,1.0
0,1,lookahead_delta,17.0,45.0,12.779587507247925,9.6488037109375,3.130783796310425,12.779587507247925,0.0,4.0,5.0,4.0,3.0,1.0
0,1,wms_planner,17.0,45.0,12.972411632537842,9.839926719665527,3.1324849128723145,12.972411632537842,0.0,4.0,5.0,4.0,3.0,1.0
0,2,greedy_delta,16.0,43.0,12.370667457580566,9.279521942138672,3.0911455154418945,12.370667457580566,0.0,2.0,5.0,6.0,3.0,0.0
0,2,lookahead_delta,16.0,43.0,12.26431131362915,9.341496467590332,2.9228148460388184,12.26431131362915,0.0,2.0,5.0,6.0,3.0,0.0
0,2,wms_planner,16.0,43.0,12.370667457580566,9.279521942138672,3.0911455154418945,12.370667457580566,0.0,2.0,5.0,6.0,3.0,0.0
0,3,greedy_delta,11.0,28.0,5.367949843406677,3.591982841491699,1.775967001914978,5.367949843406677,0.0,2.0,2.0,3.0,2.0,2.0
0,3,lookahead_delta,11.0,28.0,5.440510988235474,3.6219992637634277,1.818511724472046,5.440510988235474,0.0,2.0,2.0,3.0,2.0,2.0
0,3,wms_planner,11.0,28.0,5.367949843406677,3.591982841491699,1.775967001914978,5.367949843406677,0.0,2.0,2.0,3.0,2.0,2.0
0,4,greedy_delta,8.0,19.0,3.2462220191955566,2.0668578147888184,1.1793642044067383,3.2462220191955566,0.0,2.0,3.0,1.0,0.0,2.0
0,4,lookahead_delta,8.0,19.0,2.734959125518799,1.8232529163360596,0.9117062091827393,2.734959125518799,0.0,2.0,3.0,1.0,0.0,2.0
0,4,wms_planner,8.0,19.0,2.9782265424728394,1.9551364183425903,1.023090124130249,2.9782265424728394,0.0,2.0,3.0,1.0,0.0,2.0
0,5,greedy_delta,12.0,32.0,7.0400742292404175,5.167631149291992,1.8724430799484253,7.0400742292404175,0.0,3.0,6.0,0.0,1.0,2.0
